,0
V14,0.3749366
V10,0.15183018
V4,0.046343792
V8,0.039586563
V17,0.0331248
V12,0.030921448
V19,0.029135806
V5,0.026136024
V13,0.025997603
scaled_time,0.0229379
V11,0.021209626
V3,0.015536017
V16,0.0149441
scaled_amount,0.01480866
V1,0.014365203
Hour,0.013085555
V18,0.011611331
V6,0.01153585
V7,0.011382708
V2,0.01130898
V20,0.01044024
V21,0.0087394295
V23,0.008088391
V9,0.0080848355
V15,0.007589095
V25,0.0073426086
V28,0.0070957453
V22,0.006812459
V26,0.0065731024
V27,0.0046855183
V24,0.0038097706
