feature,importance
V14,0.37596378
V10,0.1504447
V12,0.044888053
V4,0.04320175
V8,0.03884991
V17,0.03150875
V18,0.02321468
V5,0.020191152
V11,0.018661533
scaled_amount,0.017501054
V1,0.017267967
Hour,0.0159036
V3,0.015821477
V22,0.014878492
V26,0.014795659
scaled_time,0.0142301
V25,0.013015216
V15,0.012671785
V2,0.012469347
V9,0.012073936
V23,0.011732354
V7,0.011691475
V19,0.01093978
V20,0.010196817
V13,0.010033655
V27,0.008775686
V6,0.0068102865
V28,0.0064047645
V24,0.0062415474
V21,0.0051528183
V16,0.0044679274
